"season","c_m","zip3","ILI","popstat"
"1","A","010","145","3916651"
"1","C","010","445","1910214"
"1","O","010","244","891552"
"1","A","011","7","123882"
"1","C","011","212","686577"
"1","O","011","119","269958"
"1","A","012","1","17151"
"1","C","012","173","322539"
"1","O","012","93","126879"
"1","A","013","42","362356"
"1","C","013","7","32854"
"1","O","013","27","96252"
"1","A","014","115","1040972"
"1","C","014","21","264944"
"1","O","014","129","425486"
"1","A","015","143","2991252"
"1","C","015","1181","1482562"
"1","O","015","1043","1214186"
"1","A","016","151","1547810"
"1","C","016","266","771544"
"1","O","016","328","649882"
"1","A","017","21","1042941"
"1","C","017","23","425686"
"1","O","017","36","481673"
"1","A","018","702","8092883"
"1","C","018","1581","3063468"
"1","O","018","1816","3006262"
"1","A","019","62","2692794"
"1","C","019","236","1756347"
"1","O","019","260","907251"
"1","A","020","17","883998"
"1","C","020","5","157602"
"1","O","020","14","273228"
"1","A","021","84","7528664"
"1","C","021","279","3908203"
"1","O","021","396","2069611"
"1","A","023","13","663287"
"1","C","023","2","60398"
"1","O","023","3","75820"
"1","A","024","12","671587"
"1","C","024","39","517099"
"1","O","024","62","372049"
"1","A","025","4","61170"
"1","C","025","42","160431"
"1","O","025","35","76584"
"1","A","026","2","41731"
"1","C","026","51","238446"
"1","O","026","28","111188"
"1","A","027","4","284492"
"1","C","027","2","72460"
"1","O","027","3","73305"
"1","A","028","19","1399874"
"1","C","028","11","356268"
"1","O","028","23","495129"
"1","A","029","1","49522"
"1","C","029","3","72771"
"1","O","029","4","51368"
"1","A","030","56","1870818"
"1","C","030","273","1334010"
"1","O","030","275","670806"
"1","A","031","7","141256"
"1","C","031","9","81668"
"1","O","031","17","59640"
"1","A","032","6","139181"
"1","C","032","15","158105"
"1","O","032","14","68853"
"1","A","034","50","429608"
"1","C","034","36","133602"
"1","O","034","29","101966"
"1","A","035","4","17356"
"1","C","035","3","9247"
"1","O","035","4","12815"
"1","A","036","4","6924"
"1","C","036","5","4184"
"1","A","037","64","472941"
"1","C","037","95","197456"
"1","O","037","90","109740"
"1","A","038","34","1125646"
"1","C","038","135","869684"
"1","O","038","197","544232"
"1","A","040","2","39923"
"1","C","040","5","110147"
"1","O","040","12","119315"
"1","A","042","70","961289"
"1","C","042","165","587518"
"1","O","042","138","354435"
"1","A","043","5","57519"
"1","C","043","2","10574"
"1","O","043","4","19106"
"1","A","044","6","92264"
"1","C","044","3","24972"
"1","O","044","1","4044"
"1","A","046","1","8703"
"1","C","046","1","4923"
"1","O","046","4","3594"
"1","A","049","13","229027"
"1","C","049","16","171558"
"1","O","049","10","54053"
"1","A","050","45","268671"
"1","C","050","106","173968"
"1","O","050","64","93091"
"1","A","051","6","19699"
"1","C","051","5","10110"
"1","O","051","2","3566"
"1","A","052","22","77685"
"1","C","052","28","43569"
"1","O","052","19","30535"
"1","A","053","39","194776"
"1","C","053","113","114155"
"1","O","053","50","79306"
"1","A","054","147","2154500"
"1","C","054","167","762132"
"1","O","054","170","463703"
"1","A","056","1","10667"
"1","C","056","7","23602"
"1","O","056","5","17578"
"1","A","057","133","596615"
"1","C","057","110","201537"
"1","O","057","78","162814"
"1","A","060","80","4705798"
"1","C","060","214","2457520"
"1","O","060","252","1746156"
"1","A","061","9","312774"
"1","C","061","15","186020"
"1","O","061","13","168486"
"1","A","062","33","641129"
"1","C","062","25","227699"
"1","O","062","36","187184"
"1","A","063","66","1658471"
"1","C","063","243","895826"
"1","O","063","248","621261"
"1","A","064","710","8799470"
"1","C","064","1519","3029627"
"1","O","064","1338","3808593"
"1","A","065","277","2850459"
"1","C","065","249","770564"
"1","O","065","314","1036121"
"1","A","066","467","2542308"
"1","C","066","190","804118"
"1","O","066","234","1090130"
"1","A","067","163","2960228"
"1","C","067","55","729935"
"1","O","067","65","788339"
"1","A","068","127","3585637"
"1","C","068","35","554848"
"1","O","068","61","489587"
"1","A","069","141","864888"
"1","C","069","54","158295"
"1","O","069","47","128224"
"1","A","070","791","19403564"
"1","C","070","1270","6049911"
"1","O","070","1342","7922878"
"1","A","071","66","2499791"
"1","C","071","58","847702"
"1","O","071","61","518405"
"1","A","072","7","182456"
"1","C","072","11","69866"
"1","O","072","23","145879"
"1","A","073","44","1005952"
"1","C","073","192","775430"
"1","O","073","242","425511"
"1","A","074","388","5336390"
"1","C","074","231","1735329"
"1","O","074","191","1445187"
"1","A","075","106","1480358"
"1","C","075","66","497602"
"1","O","075","60","321513"
"1","A","076","91","4382218"
"1","C","076","402","1551818"
"1","O","076","272","1143186"
"1","A","077","19","1442777"
"1","C","077","25","752423"
"1","O","077","23","340629"
"1","A","078","622","4177315"
"1","C","078","452","1457634"
"1","O","078","407","1278834"
"1","A","079","226","2831364"
"1","C","079","338","886066"
"1","O","079","349","762909"
"1","A","080","494","12186218"
"1","C","080","466","4478215"
"1","O","080","416","4137756"
"1","A","081","20","349258"
"1","C","081","9","78423"
"1","O","081","23","119538"
"1","A","082","11","337077"
"1","C","082","6","98678"
"1","O","082","6","100594"
"1","A","083","56","1053075"
"1","C","083","41","462499"
"1","O","083","34","288262"
"1","A","084","9","73385"
"1","C","084","4","10621"
"1","O","084","4","22889"
"1","A","085","114","2216207"
"1","C","085","81","758511"
"1","O","085","42","430285"
"1","A","086","19","710740"
"1","C","086","9","159583"
"1","O","086","5","98102"
"1","A","087","173","3148630"
"1","C","087","524","1562289"
"1","O","087","805","1828162"
"1","A","088","762","10003605"
"1","C","088","333","3076073"
"1","O","088","231","3155467"
"1","A","089","25","262755"
"1","C","089","3","18506"
"1","O","089","9","26162"
"1","A","100","110","13567554"
"1","C","100","57","2453756"
"1","O","100","34","2000011"
"1","A","101","4","53856"
"1","C","101","3","7810"
"1","O","101","2","3606"
"1","A","103","30","1627581"
"1","C","103","12","305035"
"1","O","103","59","709673"
"1","A","104","41","6283533"
"1","C","104","37","2552330"
"1","O","104","65","2634371"
"1","A","105","199","5758966"
"1","C","105","137","1888807"
"1","O","105","145","1670686"
"1","A","106","10","106018"
"1","C","106","8","30208"
"1","O","106","10","28065"
"1","A","107","93","1674064"
"1","C","107","31","246989"
"1","O","107","74","595582"
"1","A","108","28","223931"
"1","C","108","162","199114"
"1","O","108","174","113936"
"1","A","109","59","3240653"
"1","C","109","406","2186226"
"1","O","109","345","1154738"
"1","A","110","23","677130"
"1","C","110","13","158074"
"1","O","110","65","585561"
"1","A","111","17","515476"
"1","C","111","2","21435"
"1","O","111","16","117694"
"1","A","112","168","23197134"
"1","C","112","84","6313065"
"1","O","112","93","6788995"
"1","A","113","105","8834883"
"1","C","113","17","863778"
"1","O","113","108","3797399"
"1","A","114","147","7271260"
"1","C","114","72","1191665"
"1","O","114","78","1810050"
"1","A","115","119","6112606"
"1","C","115","67","1653020"
"1","O","115","151","2859685"
"1","A","117","688","18183463"
"1","C","117","1403","6316441"
"1","O","117","1146","6474624"
"1","A","118","14","118002"
"1","C","118","94","138836"
"1","O","118","81","142970"
"1","A","119","36","903668"
"1","C","119","19","248175"
"1","O","119","15","126982"
"1","A","120","85","2045978"
"1","C","120","185","1053429"
"1","O","120","109","708277"
"1","A","121","36","1150735"
"1","C","121","37","408796"
"1","O","121","39","393922"
"1","A","122","51","713640"
"1","C","122","23","154255"
"1","O","122","19","124806"
"1","A","123","132","1140263"
"1","C","123","206","472175"
"1","O","123","156","436581"
"1","A","124","4","99412"
"1","C","124","1","10433"
"1","A","125","32","1864905"
"1","C","125","91","1228512"
"1","O","125","73","538405"
"1","A","126","6","66054"
"1","C","126","4","23137"
"1","A","127","6","61722"
"1","C","127","2","12944"
"1","O","127","4","21121"
"1","A","128","28","689634"
"1","C","128","19","207843"
"1","O","128","16","114890"
"1","A","129","35","522112"
"1","C","129","83","418956"
"1","O","129","125","292610"
"1","A","130","109","2630898"
"1","C","130","292","1429139"
"1","O","130","534","973838"
"1","A","131","29","512233"
"1","C","131","80","634796"
"1","O","131","124","277775"
"1","A","132","249","2046283"
"1","C","132","201","835497"
"1","O","132","323","706378"
"1","A","133","0","15938"
"1","C","133","1","9694"
"1","O","133","5","24175"
"1","A","134","3","76371"
"1","C","134","4","55580"
"1","O","134","3","38025"
"1","A","136","2","61918"
"1","C","136","3","54831"
"1","O","136","2","16992"
"1","A","137","0","19496"
"1","C","137","1","9895"
"1","O","137","4","33127"
"1","A","140","29","1348056"
"1","C","140","37","788670"
"1","O","140","60","521015"
"1","A","141","10","224685"
"1","C","141","27","305123"
"1","O","141","35","186761"
"1","A","142","36","2257518"
"1","C","142","255","2285179"
"1","O","142","395","1017626"
"1","A","143","2","17573"
"1","C","143","2","9418"
"1","O","143","19","40040"
"1","A","144","2","89737"
"1","C","144","1","24101"
"1","O","144","5","61666"
"1","A","146","1","61654"
"1","C","146","1","32003"
"1","O","146","2","64029"
"1","A","147","7","168898"
"1","C","147","10","141106"
"1","O","147","65","163830"
"1","A","148","5","160689"
"1","C","148","100","792364"
"1","O","148","103","293380"
"1","A","150","216","4186121"
"1","C","150","809","1750942"
"1","O","150","570","1716481"
"1","A","151","209","3612708"
"1","C","151","833","1469445"
"1","O","151","543","1627658"
"1","A","152","383","7789232"
"1","C","152","1682","2792051"
"1","O","152","1130","3598549"
"1","A","153","42","716039"
"1","C","153","103","559750"
"1","O","153","53","240395"
"1","A","154","45","672609"
"1","C","154","51","353632"
"1","O","154","50","282784"
"1","A","155","8","83013"
"1","C","155","16","79760"
"1","O","155","7","19061"
"1","A","156","81","1737653"
"1","C","156","224","994291"
"1","O","156","196","937967"
"1","A","157","51","470135"
"1","C","157","79","278883"
"1","O","157","63","165985"
"1","A","158","4","49198"
"1","C","158","92","191985"
"1","O","158","39","72957"
"1","A","159","3","60015"
"1","C","159","1","11091"
"1","O","159","2","15230"
"1","A","160","53","931279"
"1","C","160","201","703839"
"1","O","160","228","403980"
"1","A","161","41","925426"
"1","C","161","65","507685"
"1","O","161","55","358114"
"1","A","162","26","243152"
"1","C","162","28","140068"
"1","O","162","20","56857"
"1","A","163","50","672680"
"1","C","163","56","327286"
"1","O","163","52","257524"
"1","A","164","46","530263"
"1","C","164","38","285180"
"1","O","164","39","180165"
"1","A","165","86","1156963"
"1","C","165","48","394037"
"1","O","165","60","478885"
"1","A","166","18","427276"
"1","C","166","20","221768"
"1","O","166","29","202444"
"1","A","167","1","7161"
"1","C","167","1","3324"
"1","O","167","1","4374"
"1","A","168","8","225313"
"1","C","168","18","221193"
"1","O","168","8","25351"
"1","A","170","333","6088451"
"1","C","170","265","2257585"
"1","O","170","184","2118264"
"1","A","171","22","411858"
"1","C","171","51","235190"
"1","O","171","47","194096"
"1","A","172","44","762991"
"1","C","172","20","212694"
"1","O","172","25","169374"
"1","A","173","158","2386827"
"1","C","173","108","848976"
"1","O","173","56","501806"
"1","A","174","15","281062"
"1","C","174","33","244522"
"1","O","174","15","67317"
"1","A","175","759","3350324"
"1","C","175","771","1420989"
"1","O","175","445","1282007"
"1","A","176","309","1495957"
"1","C","176","349","562956"
"1","O","176","300","600472"
"1","A","177","9","208262"
"1","C","177","2","24548"
"1","O","177","4","41271"
"1","A","178","109","1256989"
"1","C","178","76","484674"
"1","O","178","25","230132"
"1","A","179","1","15714"
"1","C","179","1","7748"
"1","O","179","2","6968"
"1","A","180","39","1569150"
"1","C","180","71","1116511"
"1","O","180","39","581025"
"1","A","181","1","17330"
"1","C","181","3","29206"
"1","O","181","8","31020"
"1","A","182","1","15974"
"1","C","182","1","7981"
"1","A","183","25","560438"
"1","C","183","13","110009"
"1","O","183","14","64084"
"1","A","184","30","582280"
"1","C","184","16","132445"
"1","O","184","33","252145"
"1","A","186","23","541542"
"1","C","186","19","153281"
"1","O","186","26","141227"
"1","A","187","50","726130"
"1","C","187","45","252436"
"1","O","187","55","367190"
"1","A","189","204","3174040"
"1","C","189","75","709395"
"1","O","189","50","739645"
"1","A","190","709","12178029"
"1","C","190","1031","4651182"
"1","O","190","1085","6126976"
"1","A","191","319","15961411"
"1","C","191","335","5851548"
"1","O","191","483","5111163"
"1","A","193","97","2773438"
"1","C","193","428","1033262"
"1","O","193","357","724261"
"1","A","194","253","4928614"
"1","C","194","235","1709206"
"1","O","194","216","1299073"
"1","A","195","49","791456"
"1","C","195","67","437469"
"1","O","195","62","243751"
"1","A","196","18","383469"
"1","C","196","17","165311"
"1","O","196","13","68612"
"1","A","197","47","1122475"
"1","C","197","237","1094921"
"1","O","197","277","531070"
"1","A","198","16","314273"
"1","C","198","64","398829"
"1","O","198","78","333053"
"1","A","199","124","1954662"
"1","C","199","72","698773"
"1","O","199","82","868173"
"1","A","200","58","2966188"
"1","C","200","41","947471"
"1","O","200","54","742968"
"1","A","201","117","4471250"
"1","C","201","533","2369189"
"1","O","201","526","1163209"
"1","A","206","217","2389599"
"1","C","206","85","900923"
"1","O","206","71","464932"
"1","A","207","375","10565846"
"1","C","207","480","3862130"
"1","O","207","460","2313255"
"1","A","208","90","4164583"
"1","C","208","257","2408988"
"1","O","208","290","1095132"
"1","A","209","34","1184250"
"1","C","209","122","819885"
"1","O","209","190","462873"
"1","A","210","557","7822989"
"1","C","210","394","2504661"
