"season","c_m","zip3","ILI","popstat"
"5","A","010","921","8778495"
"5","C","010","803","3047137"
"5","O","010","725","2865552"
"5","A","011","403","2520171"
"5","C","011","252","1036148"
"5","O","011","199","635201"
"5","A","012","20","233649"
"5","C","012","171","579168"
"5","O","012","166","318099"
"5","A","013","124","877833"
"5","C","013","54","188047"
"5","O","013","107","251799"
"5","A","014","624","3868846"
"5","C","014","512","1492188"
"5","O","014","697","1258042"
"5","A","015","544","6875318"
"5","C","015","974","2586300"
"5","O","015","933","2331269"
"5","A","016","336","3089480"
"5","C","016","473","1113772"
"5","O","016","691","1183413"
"5","A","017","950","7086104"
"5","C","017","807","2506038"
"5","O","017","1288","2704463"
"5","A","018","1326","13145329"
"5","C","018","3118","4999802"
"5","O","018","3725","5203568"
"5","A","019","228","6411526"
"5","C","019","853","3043915"
"5","O","019","892","2468925"
"5","A","020","661","6970451"
"5","C","020","384","2509806"
"5","O","020","563","2773323"
"5","A","021","1150","25481426"
"5","C","021","1545","6937010"
"5","O","021","1894","9038880"
"5","A","022","11","67032"
"5","C","022","9","33271"
"5","O","022","14","1818"
"5","A","023","611","7882386"
"5","C","023","808","3064859"
"5","O","023","779","2783978"
"5","A","024","913","7553056"
"5","C","024","1086","2358448"
"5","O","024","1860","3094419"
"5","A","025","106","982166"
"5","C","025","203","561435"
"5","O","025","224","550141"
"5","A","026","204","1681551"
"5","C","026","63","275228"
"5","O","026","145","1114595"
"5","A","027","588","9407895"
"5","C","027","857","3405820"
"5","O","027","659","2972966"
"5","A","028","380","11393365"
"5","C","028","598","4232608"
"5","O","028","613","4397817"
"5","A","029","62","2673367"
"5","C","029","308","2354402"
"5","O","029","305","1316767"
"5","A","030","597","6784727"
"5","C","030","1163","2857973"
"5","O","030","1307","2092703"
"5","A","031","149","1814559"
"5","C","031","109","566904"
"5","O","031","157","373098"
"5","A","032","270","2536880"
"5","C","032","347","1157039"
"5","O","032","363","899664"
"5","A","033","139","506209"
"5","C","033","223","330957"
"5","O","033","214","172255"
"5","A","034","67","596936"
"5","C","034","73","261622"
"5","O","034","67","189918"
"5","A","035","19","92878"
"5","C","035","7","18040"
"5","O","035","24","40177"
"5","A","036","40","60434"
"5","C","036","30","22192"
"5","O","036","42","15425"
"5","A","037","207","1061464"
"5","C","037","343","448847"
"5","O","037","318","276698"
"5","A","038","443","5665584"
"5","C","038","810","2097247"
"5","O","038","999","1916781"
"5","A","039","44","244055"
"5","C","039","62","129626"
"5","O","039","62","104405"
"5","A","040","330","5404214"
"5","C","040","185","1885435"
