"ID","ILI","popstat"
"10010A",1523,257775
"10010C",4342,87327
"10013A",394,48204
"10013C",556,14142
"10014A",690,118368
"10014C",663,43300
"10015A",491,207687
"10015C",963,75372
"10016A",261,101553
"10016C",996,36454
"10018A",3153,385325
"10018C",4565,145751
"10019A",617,260615
"10019C",1457,89917
"10021A",1503,771027
"10021C",2820,211083
"10024A",590,221596
"10024C",1816,70037
"10030A",1226,217349
"10030C",1587,80728
"10034A",54,47099
"10034C",37,16347
"10037A",124,41758
"10037C",132,13935
"10038A",1744,179733
"10038C",2030,59773
"10042A",282,96250
"10042C",322,32588
"10057A",411,45870
"10057C",334,15011
"10060A",1627,368212
"10060C",1806,126086
"10062A",318,95775
"10062C",436,34854
"10063A",440,148762
"10063C",893,50431
"10064A",3019,392300
"10064C",4671,138834
"10065A",1262,155283
"10065C",907,57070
"10066A",1348,120103
"10066C",1596,48238
"10067A",651,179692
"10067C",1664,65141
"10068A",1137,244645
"10068C",4797,98345
"10070A",5314,903919
"10070C",9638,300565
"10071A",841,223097
"10071C",926,84401
"10073A",549,144237
"10073C",778,46708
"10074A",1078,248053
"10074C",4236,95020
"10075A",396,110105
"10075C",1221,44484
"10076A",1156,268588
"10076C",3770,92581
"10077A",1772,336703
"10077C",3695,124857
"10078A",1011,202834
"10078C",2630,74171
"10079A",982,134079
"10079C",2902,52251
"10080A",2807,649752
"10080C",3366,229694
"10081A",288,85388
"10081C",341,36002
"10083A",467,135796
"10083C",1372,46619
"10085A",968,176200
"10085C",1746,66286
"10086A",340,153209
"10086C",811,52191
"10087A",1042,213496
"10087C",4044,79231
"10088A",4188,500606
"10088C",6011,174668
"10100A",4228,973611
"10100C",2618,210736
"10103A",1930,272669
"10103C",3670,97786
"10104A",2725,749863
"10104C",2936,319539
"10105A",2541,348985
"10105C",5150,136535
"10107A",754,123139
"10107C",544,45091
"10109A",1701,279568
"10109C",4439,118917
"1010A",79,255769
"1010C",325,92352
"10110A",704,123100
"10110C",1606,44484
"10112A",7333,1399816
"10112C",9330,518312
"10113A",2949,677704
"10113C",5040,192267
"10114A",1544,430595
"10114C",1714,145663
"10115A",2406,370463
"10115C",4752,139242
"10117A",6802,822554
"10117C",13978,317959
"10118A",225,37448
"10118C",341,13474
"10119A",785,130300
"10119C",2210,47749
"10120A",593,181519
"10120C",1074,62313
"10121A",423,153044
"10121C",494,51185
"10123A",606,85983
"10123C",972,31182
"10125A",1421,251393
"10125C",3383,90148
"10130A",1346,212994
"10130C",1040,75038
"10131A",432,99440
"10131C",490,34612
"10132A",931,119483
"10132C",668,45044
"1013A",17,45306
"1013C",6,16607
"1014A",54,114503
"1014C",10,43961
"10150A",888,231844
"10150C",1759,79273
"10151A",658,192905
"10151C",724,67382
"10152A",1154,368540
"10152C",911,121235
"10153A",318,98273
"10153C",502,32700
"10154A",168,81994
"10154C",680,26314
"10155A",138,48506
"10155C",361,14915
"10156A",731,163370
"10156C",1106,51798
"10157A",122,61508
"10157C",428,19879
"1015A",72,190016
"1015C",797,69042
"10160A",291,104915
"10160C",208,37642
"10161A",217,114838
"10161C",333,41411
"10162A",87,45712
"10162C",125,15998
"10163A",247,77362
"10163C",254,27603
"10164A",215,71659
"10164C",281,26523
"10165A",462,98519
"10165C",523,37019
"1016A",62,93504
"1016C",184,36492
"10170A",666,325975
"10170C",1019,111758
"10172A",178,106528
"10172C",359,38762
"10173A",839,189700
"10173C",2735,65449
"10175A",1701,165782
"10175C",2756,67938
"10176A",993,82440
"10176C",1569,30537
"10178A",222,126787
"10178C",373,41038
"10180A",843,291391
"10180C",1481,102360
"10183A",210,102656
"10183C",611,37876
"10186A",282,88359
"10186C",482,29514
"10187A",207,73038
"10187C",480,23440
"10189A",576,196631
"10189C",554,73232
"1018A",477,378683
"1018C",1140,142968
"10190A",2814,594835
"10190C",2864,218238
"10191A",2054,775377
"10191C",1618,303219
"10193A",633,235395
"10193C",547,92548
"10194A",1015,274342
"10194C",1859,98205
"10195A",451,122750
"10195C",1026,44591
"10196A",632,105048
