"season","c_m","zip3","ILIsum","popstatsum"
"1","A","010","145","255769"
"1","C","010","445","92352"
"1","A","013","42","45306"
"1","C","013","7","16607"
"1","A","014","115","114503"
"1","C","014","21","43961"
"1","A","015","143","190016"
"1","C","015","1181","69042"
"1","A","016","151","93504"
"1","C","016","266","36492"
"1","A","017","21","209784"
"1","C","017","23","69694"
"1","A","018","702","378683"
"1","C","018","1581","142968"
"1","A","019","62","261806"
"1","C","019","236","88446"
"1","A","020","17","220548"
"1","C","020","5","78136"
"1","A","021","84","736566"
"1","C","021","279","217210"
"1","A","024","12","225322"
"1","C","024","39","66934"
"1","A","028","19","372571"
"1","C","028","11","134476"
"1","A","030","56","210787"
"1","C","030","273","73907"
"1","A","032","6","93506"
"1","C","032","15","36330"
"1","A","034","50","43363"
"1","C","034","36","17317"
"1","A","037","64","40618"
"1","C","037","95","15462"
"1","A","038","34","169166"
"1","C","038","135","59060"
"1","A","042","70","90563"
"1","C","042","165","37015"
"1","A","049","13","83281"
"1","C","049","16","34543"
"1","A","050","45","33280"
"1","C","050","106","12737"
"1","A","051","6","16135"
"1","C","051","5","6042"
"1","A","052","22","18422"
"1","C","052","28","7178"
"1","A","053","39","19445"
"1","C","053","113","7032"
"1","A","054","147","126907"
"1","C","054","167","47437"
"1","A","057","133","45739"
"1","C","057","110","17768"
"1","A","060","80","350591"
"1","C","060","214","118583"
"1","A","062","33","83388"
"1","C","062","25","32206"
"1","A","063","66","136816"
"1","C","063","243","49351"
"1","A","064","710","402990"
"1","C","064","1519","137167"
"1","A","065","277","145893"
"1","C","065","249","55673"
"1","A","066","467","120804"
"1","C","066","190","45547"
"1","A","067","163","171452"
"1","C","067","55","62522"
"1","A","068","127","212013"
"1","C","068","35","70328"
"1","A","069","141","62900"
"1","C","069","54","20171"
"1","A","070","791","861264"
"1","C","070","1270","266631"
"1","A","071","66","213235"
"1","C","071","58","81975"
"1","A","073","44","138711"
"1","C","073","192","46370"
"1","A","074","388","258110"
