"season","c_m","zip3","ILIsum","popstatsum"
"10","A","010","2355","257775"
"10","C","010","5694","87327"
"10","A","011","854","86840"
"10","C","011","1128","38031"
"10","A","012","322","68368"
"10","C","012","856","22508"
"10","A","013","536","48204"
"10","C","013","683","14142"
"10","A","014","931","118368"
"10","C","014","886","43300"
"10","A","015","838","207687"
"10","C","015","1407","75372"
"10","A","016","469","101553"
"10","C","016","1681","36454"
"10","A","017","927","204388"
"10","C","017","2211","75838"
"10","A","018","4982","385325"
"10","C","018","6677","145751"
"10","A","019","912","260615"
"10","C","019","2573","89917"
"10","A","020","1462","213023"
"10","C","020","3084","83514"
"10","A","021","2609","771027"
"10","C","021","4329","211083"
"10","A","022","38","15686"
"10","C","022","17","5852"
"10","A","023","1082","240930"
"10","C","023","3229","89032"
"10","A","024","1010","221596"
"10","C","024","2791","70037"
"10","A","025","219","62004"
"10","C","025","630","19551"
"10","A","026","524","74872"
"10","C","026","881","22002"
"10","A","027","2867","288701"
"10","C","027","4143","99512"
"10","A","028","4023","375235"
"10","C","028","9001","127512"
"10","A","029","2163","208173"
"10","C","029","3389","76182"
"10","A","030","1617","217349"
"10","C","030","1902","80728"
"10","A","031","290","84016"
"10","C","031","316","29361"
"10","A","032","257","107221"
"10","C","032","305","35169"
"10","A","033","33","35953"
"10","C","033","30","11595"
"10","A","034","78","47099"
"10","C","034","61","16347"
"10","A","035","27","24513"
"10","C","035","18","7403"
"10","A","036","27","7300"
"10","C","036","29","2450"
"10","A","037","164","41758"
"10","C","037","158","13935"
"10","A","038","2428","179733"
"10","C","038","2725","59773"
"10","A","039","143","28301"
"10","C","039","140","9500"
"10","A","040","936","186598"
"10","C","040","831","64979"
"10","A","041","372","61894"
"10","C","041","245","18090"
"10","A","042","379","96250"
"10","C","042","373","32588"
"10","A","043","115","45195"
"10","C","043","94","14226"
"10","A","044","235","96786"
"10","C","044","100","30860"
"10","A","045","199","25699"
"10","C","045","83","8005"
"10","A","046","60","38951"
"10","C","046","60","12363"
"10","A","047","17","38434"
"10","C","047","5","12302"
"10","A","048","105","22369"
"10","C","048","104","6745"
"10","A","049","277","87319"
"10","C","049","298","29318"
"10","A","050","121","34041"
"10","C","050","104","10704"
"10","A","051","23","15640"
"10","C","051","33","4896"
"10","A","052","27","17023"
"10","C","052","172","5829"
"10","A","053","40","20483"
"10","C","053","49","6224"
"10","A","054","447","133206"
"10","C","054","428","46195"
"10","A","056","181","48142"
"10","C","056","301","15257"
"10","A","057","552","45870"
"10","C","057","407","15011"
"10","A","058","44","31865"
"10","C","058","81","10523"
"10","A","060","2609","368212"
"10","C","060","2565","126086"
"10","A","061","1025","153224"
"10","C","061","807","59736"
"10","A","062","513","95775"
"10","C","062","604","34854"
"10","A","063","690","148762"
"10","C","063","1273","50431"
"10","A","064","4408","392300"
"10","C","064","6599","138834"
