"mergeID","zip","state_ers","county_cl_ers","zip3","FIPS_ers","pop2010_ers","RUCC_2013_ers","urbanmarker"
"AK aleutians east borough","99571","AK","aleutians east borough","995","02013","3,141",9,0
"AK aleutians east borough","99553","AK","aleutians east borough","995","02013","3,141",9,0
"AK aleutians east borough","99612","AK","aleutians east borough","996","02013","3,141",9,0
"AK aleutians east borough","99583","AK","aleutians east borough","995","02013","3,141",9,0
"AK aleutians east borough","99661","AK","aleutians east borough","996","02013","3,141",9,0
"AK aleutians west census area","99546","AK","aleutians west census area","995","02016","5,561",9,0
"AK aleutians west census area","99638","AK","aleutians west census area","996","02016","5,561",9,0
"AK aleutians west census area","99692","AK","aleutians west census area","996","02016","5,561",9,0
"AK aleutians west census area","99685","AK","aleutians west census area","996","02016","5,561",9,0
"AK aleutians west census area","99660","AK","aleutians west census area","996","02016","5,561",9,0
"AK aleutians west census area","99547","AK","aleutians west census area","995","02016","5,561",9,0
"AK aleutians west census area","99591","AK","aleutians west census area","995","02016","5,561",9,0
"AK anchorage municipality","99501","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99502","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99503","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99504","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99505","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99506","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99507","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99508","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99509","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99510","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99511","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99513","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99514","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99515","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99516","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99517","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99518","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99519","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99520","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99521","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99522","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99523","AK","anchorage municipality","995","02020","291,826",2,1
"AK anchorage municipality","99524","AK","anchorage municipality","995","02020","291,826",2,1
