"10-14 YEARS","2000-12-31","1849","77071","0.0240"
"10-14 YEARS","2001-01-07","3645","103106","0.0354"
"10-14 YEARS","2001-01-14","5187","111800","0.0464"
"10-14 YEARS","2001-01-21","6313","120183","0.0525"
"10-14 YEARS","2001-01-28","6766","126071","0.0537"
"10-14 YEARS","2001-02-04","5299","118971","0.0445"
"10-14 YEARS","2001-02-11","3767","106277","0.0354"
"10-14 YEARS","2001-02-18","2650","105590","0.0251"
"10-14 YEARS","2001-02-25","2253","105808","0.0213"
"10-14 YEARS","2001-03-04","1938","104451","0.0186"
"10-14 YEARS","2001-03-11","1596","104597","0.0153"
"10-14 YEARS","2001-03-18","1497","105683","0.0142"
"10-14 YEARS","2001-03-25","1397","105399","0.0133"
"10-14 YEARS","2001-04-01","1221","103733","0.0118"
"10-14 YEARS","2001-04-08","915","97877","0.0093"
"10-14 YEARS","2001-04-15","898","101080","0.0089"
"10-14 YEARS","2001-04-22","1030","103472","0.0100"
"10-14 YEARS","2001-04-29","979","110242","0.0089"
"10-14 YEARS","2001-05-06","1095","111521","0.0098"
"10-14 YEARS","2001-05-13","1141","110747","0.0103"
"10-14 YEARS","2001-05-20","1044","103867","0.0101"
"10-14 YEARS","2001-05-27","752","87338","0.0086"
"10-14 YEARS","2001-06-03","832","102705","0.0081"
"10-14 YEARS","2001-06-10","728","100177","0.0073"
"10-14 YEARS","2001-06-17","725","96436","0.0075"
"10-14 YEARS","2001-06-24","768","94274","0.0081"
"10-14 YEARS","2001-07-01","614","77635","0.0079"
"10-14 YEARS","2001-07-08","736","98271","0.0075"
"10-14 YEARS","2001-07-15","704","99975","0.0070"
"10-14 YEARS","2001-07-22","713","103158","0.0069"
"10-14 YEARS","2001-07-29","728","110659","0.0066"
"10-14 YEARS","2001-08-05","755","119690","0.0063"
"10-14 YEARS","2001-08-12","913","123984","0.0074"
"10-14 YEARS","2001-08-19","1039","126132","0.0082"
"10-14 YEARS","2001-08-26","1189","123778","0.0096"
"10-14 YEARS","2001-09-02","1113","99480","0.0112"
"10-14 YEARS","2001-09-09","1359","114547","0.0119"
"10-14 YEARS","2001-09-16","1415","119371","0.0119"
"10-14 YEARS","2001-09-23","1379","119534","0.0115"
"10-14 YEARS","2001-09-30","1474","119392","0.0123"
"10-14 YEARS","2001-10-07","1563","121965","0.0128"
"10-14 YEARS","2001-10-14","1665","125085","0.0133"
"10-14 YEARS","2001-10-21","1811","127220","0.0142"
"10-14 YEARS","2001-10-28","1913","127955","0.0150"
"10-14 YEARS","2001-11-04","2003","133243","0.0150"
"10-14 YEARS","2001-11-11","1913","129194","0.0148"
"10-14 YEARS","2001-11-18","1202","87750","0.0137"
"10-14 YEARS","2001-11-25","1934","118613","0.0163"
"10-14 YEARS","2001-12-02","1995","118825","0.0168"
"10-14 YEARS","2001-12-09","2131","117558","0.0181"
"10-14 YEARS","2001-12-16","1874","112248","0.0167"
"10-14 YEARS","2001-12-23","1027","65986","0.0156"
"10-14 YEARS","2001-12-30","1230","80298","0.0153"
"10-14 YEARS","2002-01-06","2336","119593","0.0195"
"10-14 YEARS","2002-01-13","3974","131360","0.0303"
"10-14 YEARS","2002-01-20","5024","137667","0.0365"
"10-14 YEARS","2002-01-27","5594","142341","0.0393"
