"10-14 YEARS","2000","1849","77071","0.0240"
"10-14 YEARS","2001","90828","5662951","0.0160"
"10-14 YEARS","2002","134809","6702341","0.0201"
"10-14 YEARS","2003","235868","9066106","0.0260"
"10-14 YEARS","2004","128818","10139126","0.0127"
"10-14 YEARS","2005","224127","11367642","0.0197"
"10-14 YEARS","2006","211985","11384637","0.0186"
"10-14 YEARS","2007","218892","13118084","0.0167"
"10-14 YEARS","2008","286107","15647253","0.0183"
"10-14 YEARS","2009","931298","23422632","0.0398"
"10-14 YEARS","2010","201949","12802629","0.0158"
"15-19 YEARS","2000","1514","96603","0.0157"
"15-19 YEARS","2001","56374","6107243","0.0092"
"15-19 YEARS","2002","72370","7201985","0.0100"
"15-19 YEARS","2003","137761","9768399","0.0141"
"15-19 YEARS","2004","84236","11529244","0.0073"
"15-19 YEARS","2005","136879","13099823","0.0104"
"15-19 YEARS","2006","136622","13646496","0.0100"
"15-19 YEARS","2007","144091","15957444","0.0090"
"15-19 YEARS","2008","189149","18887295","0.0100"
"15-19 YEARS","2009","550378","27249961","0.0202"
"15-19 YEARS","2010","135965","15349290","0.0089"
"2-4 YEARS","2000","3260","76991","0.0423"
"2-4 YEARS","2001","151591","4717145","0.0321"
"2-4 YEARS","2002","203742","5530332","0.0368"
"2-4 YEARS","2003","342388","7586779","0.0451"
"2-4 YEARS","2004","263965","8434353","0.0313"
"2-4 YEARS","2005","382691","9640020","0.0397"
"2-4 YEARS","2006","388417","10251415","0.0379"
"2-4 YEARS","2007","444264","11694737","0.0380"
"2-4 YEARS","2008","593343","14241125","0.0417"
"2-4 YEARS","2009","1126240","20764926","0.0542"
"2-4 YEARS","2010","458910","11308966","0.0406"
"20-29 YEARS","2000","2446","196682","0.0124"
"20-29 YEARS","2001","58045","11972797","0.0048"
"20-29 YEARS","2002","69035","13932888","0.0050"
"20-29 YEARS","2003","118665","18213801","0.0065"
"20-29 YEARS","2004","79822","21448568","0.0037"
"20-29 YEARS","2005","131578","23922324","0.0055"
"20-29 YEARS","2006","108062","24545678","0.0044"
"20-29 YEARS","2007","114108","28617971","0.0040"
"20-29 YEARS","2008","188458","34381790","0.0055"
"20-29 YEARS","2009","419731","48854629","0.0086"
"20-29 YEARS","2010","113165","28242390","0.0040"
"30-39 YEARS","2000","2739","282020","0.0097"
"30-39 YEARS","2001","74498","18348907","0.0041"
"30-39 YEARS","2002","88084","21189122","0.0042"
"30-39 YEARS","2003","136266","27331335","0.0050"
"30-39 YEARS","2004","97589","31834632","0.0031"
"30-39 YEARS","2005","162183","34504608","0.0047"
"30-39 YEARS","2006","121949","34157228","0.0036"
"30-39 YEARS","2007","126259","39086657","0.0032"
"30-39 YEARS","2008","220275","46715268","0.0047"
"30-39 YEARS","2009","401648","65040006","0.0062"
"30-39 YEARS","2010","113990","37362865","0.0031"
"40-49 YEARS","2000","2236","340473","0.0066"
"40-49 YEARS","2001","60849","23073909","0.0026"
"40-49 YEARS","2002","78444","27419496","0.0029"
"40-49 YEARS","2003","119372","36292530","0.0033"
"40-49 YEARS","2004","91621","43462313","0.0021"
"40-49 YEARS","2005","157188","47627723","0.0033"
"40-49 YEARS","2006","117297","47547593","0.0025"
"40-49 YEARS","2007","121063","53866123","0.0022"
"40-49 YEARS","2008","208834","63615709","0.0033"
"40-49 YEARS","2009","384187","87730167","0.0044"
"40-49 YEARS","2010","111807","49886269","0.0022"
"5-9 YEARS","2000","3001","81591","0.0368"
"5-9 YEARS","2001","145445","5698093","0.0255"
"5-9 YEARS","2002","185441","6613840","0.0280"
"5-9 YEARS","2003","320987","9140261","0.0351"
"5-9 YEARS","2004","218044","10135583","0.0215"
"5-9 YEARS","2005","369372","11684333","0.0316"
"5-9 YEARS","2006","349766","11662743","0.0300"
"5-9 YEARS","2007","392583","13337062","0.0294"
"5-9 YEARS","2008","488218","15722205","0.0311"
"5-9 YEARS","2009","1308090","24052886","0.0544"
"5-9 YEARS","2010","370905","13645281","0.0272"
"50-59 YEARS","2000","1291","346341","0.0037"
"50-59 YEARS","2001","39093","24251330","0.0016"
"50-59 YEARS","2002","54432","29636148","0.0018"
"50-59 YEARS","2003","87879","39912239","0.0022"
"50-59 YEARS","2004","71327","48830973","0.0015"
"50-59 YEARS","2005","129858","55072606","0.0024"
"50-59 YEARS","2006","95946","57098062","0.0017"
"50-59 YEARS","2007","95655","65195617","0.0015"
"50-59 YEARS","2008","173982","78111846","0.0022"
"50-59 YEARS","2009","306941","110977455","0.0028"
"50-59 YEARS","2010","101573","64139615","0.0016"
"60-69 YEARS","2000","612","314875","0.0019"
"60-69 YEARS","2001","20614","21940202","0.0009"
"60-69 YEARS","2002","29050","26508654","0.0011"
"60-69 YEARS","2003","54265","36083717","0.0015"
"60-69 YEARS","2004","43906","43315677","0.0010"
"60-69 YEARS","2005","75139","48486181","0.0015"
"60-69 YEARS","2006","58592","51106870","0.0011"
"60-69 YEARS","2007","60513","59976009","0.0010"
"60-69 YEARS","2008","106332","73327624","0.0015"
"60-69 YEARS","2009","173943","108220616","0.0016"
"60-69 YEARS","2010","69352","62504542","0.0011"
"70-79 YEARS","2000","461","356729","0.0013"
"70-79 YEARS","2001","16518","24993119","0.0007"
"70-79 YEARS","2002","22986","29215251","0.0008"
"70-79 YEARS","2003","42967","37973088","0.0011"
"70-79 YEARS","2004","34010","42770644","0.0008"
"70-79 YEARS","2005","56777","46493593","0.0012"
"70-79 YEARS","2006","43016","47998489","0.0009"
"70-79 YEARS","2007","38974","52675612","0.0007"
"70-79 YEARS","2008","69666","62000081","0.0011"
"70-79 YEARS","2009","96879","89181377","0.0011"
"70-79 YEARS","2010","41306","48712534","0.0008"
"80+ YEARS","2000","362","239800","0.0015"
"80+ YEARS","2001","12194","16486842","0.0007"
"80+ YEARS","2002","17708","19916166","0.0009"
"80+ YEARS","2003","35477","27016640","0.0013"
"80+ YEARS","2004","29001","31583183","0.0009"
"80+ YEARS","2005","50363","35386061","0.0014"
"80+ YEARS","2006","36479","37116707","0.0010"
