"5","30-49 YEARS","2000-12-31","52","8260","83976348.0000","9.8361"
"5","30-49 YEARS","2001-01-07","1","7660","83976348.0000","9.1216"
"5","30-49 YEARS","2001-01-14","2","8400","83976348.0000","10.0028"
"5","30-49 YEARS","2001-01-21","3","8840","83976348.0000","10.5268"
"5","30-49 YEARS","2001-01-28","4","8520","83976348.0000","10.1457"
"5","30-49 YEARS","2001-02-04","5","7940","83976348.0000","9.4550"
"5","30-49 YEARS","2001-02-11","6","6720","83976348.0000","8.0023"
"5","30-49 YEARS","2001-02-18","7","5820","83976348.0000","6.9305"
"5","30-49 YEARS","2001-02-25","8","4680","83976348.0000","5.5730"
"5","30-49 YEARS","2001-03-04","9","3580","83976348.0000","4.2631"
"5","30-49 YEARS","2001-03-11","10","3920","83976348.0000","4.6680"
"5","30-49 YEARS","2001-03-18","11","3320","83976348.0000","3.9535"
"5","30-49 YEARS","2001-03-25","12","2980","83976348.0000","3.5486"
"5","30-49 YEARS","2001-04-01","13","2400","83976348.0000","2.8579"
"5","30-49 YEARS","2001-04-08","14","2580","83976348.0000","3.0723"
"5","30-49 YEARS","2001-04-15","15","2420","83976348.0000","2.8818"
"5","30-49 YEARS","2001-04-22","16","2340","83976348.0000","2.7865"
"5","30-49 YEARS","2001-04-29","17","2100","83976348.0000","2.5007"
"5","30-49 YEARS","2001-05-06","18","2320","83976348.0000","2.7627"
"5","30-49 YEARS","2001-05-13","19","2080","83976348.0000","2.4769"
"5","30-49 YEARS","2001-05-20","20","2200","83976348.0000","2.6198"
"5","30-49 YEARS","2001-05-27","21","2360","83976348.0000","2.8103"
"5","30-49 YEARS","2001-06-03","22","1860","83976348.0000","2.2149"
"5","30-49 YEARS","2001-06-10","23","2040","83976348.0000","2.4293"
"5","30-49 YEARS","2001-06-17","24","2120","83976348.0000","2.5245"
"5","30-49 YEARS","2001-06-24","25","1620","83976348.0000","1.9291"
"5","30-49 YEARS","2001-07-01","26","1860","83976348.0000","2.2149"
"5","30-49 YEARS","2001-07-08","27","2440","83976348.0000","2.9056"
"5","30-49 YEARS","2001-07-15","28","1920","83976348.0000","2.2864"
"5","30-49 YEARS","2001-07-22","29","2120","83976348.0000","2.5245"
"5","30-49 YEARS","2001-07-29","30","2460","83976348.0000","2.9294"
"5","30-49 YEARS","2001-08-05","31","2180","83976348.0000","2.5960"
"5","30-49 YEARS","2001-08-12","32","2500","83976348.0000","2.9770"
"5","30-49 YEARS","2001-08-19","33","2200","83976348.0000","2.6198"
"5","30-49 YEARS","2001-08-26","34","2260","83976348.0000","2.6912"
"5","30-49 YEARS","2001-09-02","35","2960","83976348.0000","3.5248"
"5","30-49 YEARS","2001-09-09","36","3140","83976348.0000","3.7391"
"5","30-49 YEARS","2001-09-16","37","2780","83976348.0000","3.3105"
"5","30-49 YEARS","2001-09-23","38","3100","83976348.0000","3.6915"
"5","30-49 YEARS","2001-09-30","39","2560","83976348.0000","3.0485"
"5","30-49 YEARS","2001-10-07","40","4140","83976348.0000","4.9300"
"5","30-49 YEARS","2001-10-14","41","5060","83976348.0000","6.0255"
"5","30-49 YEARS","2001-10-21","42","5200","83976348.0000","6.1922"
"5","30-49 YEARS","2001-10-28","43","5240","83976348.0000","6.2399"
"5","30-49 YEARS","2001-11-04","44","4940","83976348.0000","5.8826"
"5","30-49 YEARS","2001-11-11","45","4040","83976348.0000","4.8109"
"5","30-49 YEARS","2001-11-18","46","3860","83976348.0000","4.5965"
"5","30-49 YEARS","2001-11-25","47","4180","83976348.0000","4.9776"
"5","30-49 YEARS","2001-12-02","48","4120","83976348.0000","4.9061"
"5","30-49 YEARS","2001-12-09","49","4100","83976348.0000","4.8823"
"5","30-49 YEARS","2001-12-16","50","4180","83976348.0000","4.9776"
"5","30-49 YEARS","2001-12-23","51","7200","83976348.0000","8.5738"
"5","30-49 YEARS","2001-12-30","52","7480","83976348.0000","8.9073"
"5","30-49 YEARS","2002-01-06","1","7720","83976348.0000","9.1931"
"5","30-49 YEARS","2002-01-13","2","9460","83976348.0000","11.2651"
"5","30-49 YEARS","2002-01-20","3","12220","83976348.0000","14.5517"
"5","30-49 YEARS","2002-01-27","4","13080","83976348.0000","15.5758"
"5","30-49 YEARS","2002-02-03","5","10740","83976348.0000","12.7893"
"5","30-49 YEARS","2002-02-10","6","13400","83976348.0000","15.9569"
"5","30-49 YEARS","2002-02-17","7","13680","83976348.0000","16.2903"
"5","30-49 YEARS","2002-02-24","8","10260","83976348.0000","12.2177"
"5","30-49 YEARS","2002-03-03","9","9540","83976348.0000","11.3603"
"5","30-49 YEARS","2002-03-10","10","7240","83976348.0000","8.6215"
"5","30-49 YEARS","2002-03-17","11","6060","83976348.0000","7.2163"
"5","30-49 YEARS","2002-03-24","12","5000","83976348.0000","5.9541"
"5","30-49 YEARS","2002-03-31","13","5740","83976348.0000","6.8353"
"5","30-49 YEARS","2002-04-07","14","4500","83976348.0000","5.3587"
"5","30-49 YEARS","2002-04-14","15","3460","83976348.0000","4.1202"
"5","30-49 YEARS","2002-04-21","16","3660","83976348.0000","4.3584"
"5","30-49 YEARS","2002-04-28","17","3200","83976348.0000","3.8106"
"5","30-49 YEARS","2002-05-05","18","2920","83976348.0000","3.4772"
"5","30-49 YEARS","2002-05-12","19","3800","83976348.0000","4.5251"
"5","30-49 YEARS","2002-05-19","20","3120","83976348.0000","3.7153"
"5","30-49 YEARS","2002-05-26","21","3340","83976348.0000","3.9773"
"5","30-49 YEARS","2002-06-02","22","3080","83976348.0000","3.6677"
"5","30-49 YEARS","2002-06-09","23","2420","83976348.0000","2.8818"
"5","30-49 YEARS","2002-06-16","24","2280","83976348.0000","2.7151"
"5","30-49 YEARS","2002-06-23","25","1880","83976348.0000","2.2387"
"5","30-49 YEARS","2002-06-30","26","1780","83976348.0000","2.1196"
