"zip3","state_ers","RUCC_mn","RUCCavg_m"
"010","MA","2.12857142857143","1"
"011","MA","2","1"
"012","MA","2.97297297297297","1"
"013","MA","3.7741935483871","2"
"014","MA","1.59259259259259","1"
"015","MA","2","1"
"016","MA","2","1"
"017","MA","1.19354838709677","1"
"018","MA","1","1"
"019","MA","1","1"
"020","MA","1","1"
"021","MA","1","1"
"022","MA","1","1"
"023","MA","1","1"
"024","MA","1","1"
"025","MA","4.06666666666667","2"
"026","MA","3","2"
"027","MA","1.13636363636364","1"
"028","RI","1","1"
"029","RI","1","1"
"030","NH","1.68421052631579","1"
"031","NH","2.18181818181818","1"
"032","NH","4.24615384615385","2"
"033","NH","4","2"
"034","NH","3.64285714285714","2"
"035","NH","6.52380952380952","3"
"036","NH","5.5","2"
"037","NH","5.75862068965517","2"
"038","NH","2.84615384615385","1"
"039","ME","2","1"
"040","ME","2.41025641025641","1"
"041","ME","2","1"
"042","ME","4.56666666666667","2"
"043","ME","4.61538461538461","2"
"044","ME","4.94202898550725","2"
"045","ME","6.93548387096774","3"
"046","ME","6.42857142857143","3"
"047","ME","6.81818181818182","3"
"048","ME","6.90476190476191","3"
"049","ME","5.38571428571429","2"
"050","VT","7.92592592592593","3"
"051","VT","6.94444444444444","3"
"052","VT","6","3"
"053","VT","6.88","3"
"054","VT","3.68333333333333","2"
"056","VT","5.16279069767442","2"
"057","VT","4.73333333333333","2"
"058","VT","7.21739130434783","3"
"059","VT","9","3"
"060","CT","1.55263157894737","1"
"061","CT","1","1"
"062","CT","1.73170731707317","1"
"063","CT","1.97560975609756","1"
"064","CT","1.57575757575758","1"
"065","CT","2","1"
"066","CT","2","1"
"067","CT","3.16","2"
"068","CT","2","1"
"069","CT","2","1"
"070","NJ","1","1"
"071","NJ","1","1"
"072","NJ","1","1"
"073","NJ","1","1"
"074","NJ","1","1"
"075","NJ","1","1"
"076","NJ","1","1"
"077","NJ","1","1"
"078","NJ","1.23214285714286","1"
"079","NJ","1","1"
"080","NJ","1.01098901098901","1"
"081","NJ","1","1"
"082","NJ","2.54054054054054","1"
"083","NJ","2.36842105263158","1"
"084","NJ","2","1"
"085","NJ","1.2972972972973","1"
"086","NJ","1.93103448275862","1"
"087","NJ","1","1"
"088","NJ","1.04477611940298","1"
"089","NJ","1","1"
"100","NY","1","1"
"101","NY","1","1"
"102","NY","1","1"
"103","NY","1","1"
"104","NY","1","1"
"105","NY","1","1"
"106","NY","1","1"
"107","NY","1","1"
"108","NY","1","1"
"109","NY","1","1"
"110","NY","1","1"
"111","NY","1","1"
"112","NY","1","1"
"113","NY","1","1"
"114","NY","1","1"
"115","NY","1","1"
"116","NY","1","1"
"117","NY","1","1"
"118","NY","1","1"
"119","NY","1","1"
"120","NY","3.12676056338028","2"
"121","NY","3.52054794520548","2"
"122","NY","2","1"
"123","NY","2","1"
"124","NY","4.25301204819277","2"
"125","NY","2.29333333333333","1"
"126","NY","1","1"
"127","NY","3.85","2"
"128","NY","3.52238805970149","2"
"129","NY","5.78378378378378","2"
"130","NY","2.67857142857143","1"
"131","NY","2.81481481481481","1"
"132","NY","2","1"
"133","NY","3.63636363636364","2"
"134","NY","3.20588235294118","2"
"135","NY","2","1"
"136","NY","3.69318181818182","2"
"137","NY","4.19148936170213","2"
"138","NY","4.71739130434783","2"
"139","NY","2","1"
"140","NY","2.49230769230769","1"
"141","NY","2.36585365853659","1"
"142","NY","1","1"
"143","NY","1","1"
"144","NY","1.26415094339623","1"
"145","NY","1.9047619047619","1"
"146","NY","1","1"
"147","NY","4.73913043478261","2"
"148","NY","4.24691358024691","2"
"149","NY","3","2"
"150","PA","1","1"
"151","PA","1","1"
"152","PA","1","1"
"153","PA","2.92982456140351","1"
"154","PA","1.12328767123288","1"
"155","PA","4.65","2"
"156","PA","1.03896103896104","1"
"157","PA","4.43076923076923","2"
"158","PA","6.58064516129032","3"
"159","PA","3.23913043478261","2"
"160","PA","1.5952380952381","1"
"161","PA","2.95555555555556","1"
"162","PA","3.62222222222222","2"
"163","PA","5.28571428571429","2"
"164","PA","3.14285714285714","2"
"165","PA","2","1"
"166","PA","4.41891891891892","2"
"167","PA","7.26086956521739","3"
"168","PA","3.52542372881356","2"
"169","PA","6.61764705882353","3"
"170","PA","3.0531914893617","2"
"171","PA","2","1"
"172","PA","4.18867924528302","2"
"173","PA","2.30508474576271","1"
"174","PA","2","1"
"175","PA","2","1"
"176","PA","2","1"
"177","PA","4.02127659574468","2"
"178","PA","4.49180327868852","2"
"179","PA","3.97916666666667","2"
"180","PA","1.87142857142857","1"
"181","PA","2","1"
"182","PA","2.57894736842105","1"
"183","PA","2.5609756097561","1"
"184","PA","3.98245614035088","2"
"185","PA","2","1"
"186","PA","3.14634146341463","2"
"187","PA","2","1"
"188","PA","6","3"
"189","PA","1","1"
"190","PA","1","1"
"191","PA","1","1"
"193","PA","1","1"
"194","PA","1","1"
"195","PA","2","1"
"196","PA","2","1"
"197","DE","1","1"
"198","DE","1","1"
"199","DE","2.47727272727273","1"
"200","DC","1","1"
"201","VA","1","1"
"206","MD","1.82352941176471","1"
"207","MD","1","1"
"208","MD","1","1"
"209","MD","1","1"
"210","MD","1","1"
"211","MD","1","1"
"212","MD","1","1"
"214","MD","1","1"
"215","MD","3.9","2"
"216","MD","5.08450704225352","2"
"217","MD","1.38805970149254","1"
"218","MD","2.18604651162791","1"
"219","MD","1","1"
"220","VA","1","1"
"221","VA","1","1"
"222","VA","1","1"
"223","VA","1","1"
"224","VA","4.62162162162162","2"
"225","VA","5.33333333333333","2"
"226","VA","3","2"
"227","VA","3.76315789473684","2"
"228","VA","3.87096774193548","2"
"229","VA","3.45833333333333","2"
"230","VA","2.98245614035088","1"
"231","VA","2.58064516129032","1"
"232","VA","1","1"
"233","VA","5.60526315789474","2"
"234","VA","4.44444444444444","2"
"235","VA","1","1"
"236","VA","1","1"
"237","VA","1","1"
"238","VA","3.66666666666667","2"
"239","VA","6.68421052631579","3"
"240","VA","2.53164556962025","1"
"241","VA","3.26923076923077","2"
"242","VA","5.88","2"
"243","VA","6.275","3"
"244","VA","4.97872340425532","2"
